CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
17,9,880,0.36,0,,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png
17,21,3856,1.58,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
17,22,46716,19.10,1,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
17,22,21983,8.99,1,,1,11,FORZA ITALIA,3-20220925000000-11.png
17,22,17471,7.14,1,,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
17,22,2107,0.86,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
17,25,59560,24.36,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
17,27,39557,16.18,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
17,27,6725,2.75,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
17,27,4905,2.01,0,,2,18,+EUROPA,3-20220925000000-18.png
17,27,2080,0.85,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
17,34,3557,1.45,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
18,1,27024,3.91,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
18,4,4968,0.72,0,,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png
18,8,9203,1.33,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
18,9,1028,0.15,0,,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png
18,13,1366,0.20,0,,0,6,VITA,3-20220925000000-6.png
18,15,819,0.12,0,,0,21,FORZA DEL POPOLO,3-20220925000000-21.png
18,16,2752,0.40,0,,0,12,SUD CHIAMA NORD,3-20220925000000-12.png
18,21,13956,2.02,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
18,22,132107,19.12,0,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
18,22,112484,16.28,0,,1,11,FORZA ITALIA,3-20220925000000-11.png
18,22,40115,5.81,0,,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
18,22,5758,0.83,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
18,25,203030,29.39,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
18,27,100307,14.52,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
18,27,10238,1.48,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
18,27,7663,1.11,0,,2,18,+EUROPA,3-20220925000000-18.png
18,27,4795,0.69,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
18,28,2046,0.30,0,,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png
18,32,1920,0.28,0,,0,9,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,3-20220925000000-9.png
18,34,9340,1.35,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
19,1,86474,4.46,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
19,8,19707,1.02,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
19,13,7415,0.38,0,,0,6,VITA,3-20220925000000-6.png
19,16,257059,13.27,1,,0,12,SUD CHIAMA NORD,3-20220925000000-12.png
19,21,16171,0.83,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
19,22,357582,18.46,0,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
19,22,208315,10.76,0,,1,11,FORZA ITALIA,3-20220925000000-11.png
19,22,99084,5.12,0,,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
19,22,16219,0.84,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
19,25,525355,27.13,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
19,27,228233,11.78,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
19,27,38866,2.01,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
19,27,30274,1.56,0,,2,18,+EUROPA,3-20220925000000-18.png
19,27,12392,0.64,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
